,popularity,artist_rank,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,streams
923,124,8,0.674,0.506,-10.532,0.0434,0.173,0.0,0.0866,0.183,145.965,259333,833675
924,125,4984,0.746,0.745,-3.311,0.146,0.0474,1.71e-06,0.15,0.828,180.081,203853,831232
925,126,4960,0.73,0.538,-5.612,0.0319,0.188,0.0,0.123,0.215,130.023,279613,826758
926,127,21,0.548,0.65,-5.827,0.0591,0.219,0.0,0.225,0.557,144.937,194897,822743
927,128,98,0.635,0.713,-6.909,0.0937,0.228,0.0,0.0506,0.749,179.864,204701,821046
928,129,5410,0.823,0.419,-10.358,0.165,0.416,0.0,0.105,0.277,119.958,187453,818170
929,130,4964,0.736,0.449,-11.462,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,810028
930,131,4982,0.735,0.451,-8.374,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,245200,809051
931,132,5187,0.67,0.838,-4.031,0.0362,0.0604,0.000611,0.159,0.717,104.998,222041,805552
932,133,5386,0.841,0.639,-6.052,0.0688,0.0156,0.0654,0.0545,0.675,99.002,241875,805187
933,134,121,0.681,0.594,-7.028,0.282,0.165,3.49e-06,0.134,0.535,186.054,230453,805098
934,135,4982,0.766,0.709,-6.471,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853,803348
935,136,4,0.461,0.834,-4.868,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,795891
936,137,178,0.491,0.588,-6.177,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,269600,786095
937,138,638,0.751,0.501,-12.151,0.0551,0.234,0.112,0.0467,0.902,167.057,190627,781618
938,139,1,0.809,0.463,-11.377,0.0396,0.256,0.085,0.109,0.364,111.98,298941,780386
939,140,218,0.837,0.793,-5.048,0.0567,0.0261,9.04e-05,0.0743,0.87,124.988,151011,773725
940,141,47,0.89,0.633,-5.475,0.168,0.0232,0.000343,0.0993,0.425,139.948,233087,771214
941,142,170,0.874,0.487,-8.154,0.0641,0.393,2.96e-05,0.0524,0.746,144.956,203630,771134
942,143,4987,0.788,0.477,-7.348,0.0434,0.549,0.0,0.349,0.86,94.983,213027,759346
943,144,121,0.773,0.819,-5.946,0.118,0.426,0.0,0.0679,0.585,92.99,269187,758243
944,145,5239,0.909,0.493,-6.688,0.0735,0.128,0.000147,0.127,0.844,94.016,197120,755858
945,146,106,0.666,0.83,-5.715,0.0751,0.0123,0.0,0.191,0.702,113.03,236002,755334
946,147,4,0.649,0.589,-6.237,0.0558,0.00845,0.0,0.108,0.151,159.073,244827,753530
947,148,4970,0.74,0.303,-8.612,0.117,0.835,0.0,0.0782,0.819,91.958,213933,753103
948,149,5024,0.855,0.624,-4.093,0.0488,0.158,0.0,0.0513,0.962,117.959,180757,751095
949,150,4998,0.653,0.658,-6.428,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,221507,750455
950,151,5045,0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,232720,746062
951,152,5185,0.744,0.836,-2.396,0.0507,0.0435,0.0,0.194,0.36,114.965,174933,740932
952,153,5050,0.529,0.607,-6.781,0.0574,0.104,0.0,0.0631,0.238,101.966,234107,737820
953,154,59,0.741,0.667,-5.445,0.134,0.0575,0.0,0.106,0.595,112.956,223504,729882
954,155,5306,0.853,0.606,-4.596,0.0713,0.0561,0.0,0.313,0.654,94.759,227600,718016
955,156,1793,0.65,0.658,-10.908,0.085,0.0887,0.00403,0.0526,0.883,100.541,239120,711739
957,158,127,0.623,0.909,-3.079,0.0758,0.158,0.0,0.0972,0.651,93.984,188787,710301
958,159,2500,0.708,0.693,-5.516,0.138,0.246,0.0,0.129,0.427,143.965,271080,709239
959,160,102,0.728,0.415,-6.852,0.0639,0.401,0.0,0.0616,0.455,114.145,176320,706421
960,161,8317,0.743,0.836,-6.465,0.116,0.0804,0.0,0.384,0.82,113.375,188987,705495
962,163,3,0.665,0.498,-8.185,0.0832,0.228,0.0,0.0757,0.127,81.967,179613,689559
963,164,59,0.766,0.919,-3.618,0.201,0.0961,0.0,0.134,0.926,120.931,166427,689134
964,165,4,0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,689062
965,166,175,0.702,0.84,-3.547,0.0879,0.0112,0.0,0.119,0.624,101.99,183573,688246
966,167,136,0.745,0.356,-10.425,0.0941,0.172,0.00943,0.123,0.607,160.033,326933,685796
967,168,2500,0.664,0.758,-6.583,0.21,0.00238,0.0,0.0598,0.701,99.259,235933,681168
968,169,182,0.708,0.868,-3.287,0.0431,0.0313,0.0,0.122,0.72,124.994,202999,668107
970,171,7051,0.805,0.558,-5.226,0.041,0.164,2.2e-05,0.0546,0.965,114.95,147600,664818
971,172,47,0.92,0.674,-5.662,0.264,0.307,0.0,0.104,0.741,141.967,304041,659755
972,173,4962,0.748,0.565,-5.895,0.0476,0.164,0.00169,0.103,0.812,175.92,193227,658173
974,175,224,0.4,0.915,-4.89,0.28,0.0846,0.0,0.0503,0.878,88.917,198773,655234
975,176,219,0.734,0.418,-6.678,0.0425,0.0129,0.0,0.0579,0.868,85.909,188174,653419
976,177,4977,0.795,0.728,-4.712,0.0544,0.207,0.0,0.237,0.582,146.979,228080,642191
977,178,4974,0.659,0.604,-5.084,0.0542,0.0889,0.0,0.105,0.407,126.135,190643,640463
979,180,27,0.781,0.765,-4.092,0.0385,0.534,0.0,0.152,0.564,104.987,198286,636375
980,181,113,0.774,0.611,-2.883,0.134,0.109,0.0,0.0805,0.388,89.995,161593,635727
981,182,3,0.675,0.562,-7.678,0.0352,0.233,0.0,0.0816,0.309,130.098,256533,630115
982,183,4960,0.808,0.69,-4.151,0.148,0.0583,0.0,0.103,0.64,125.086,223147,627539
983,184,919,0.482,0.849,-9.198,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,155227,626247
984,185,60,0.611,0.644,-7.607,0.0553,0.124,0.0,0.124,0.13,105.969,221904,623563
985,186,4968,0.747,0.524,-6.807,0.245,0.0306,0.0,0.2,0.363,140.053,213132,620118
987,188,729,0.814,0.653,-0.02,0.0359,0.189,0.0,0.0876,0.706,130.099,228923,612672
988,189,27,0.476,0.718,-5.309,0.0576,0.0784,1.02e-05,0.122,0.142,199.864,205947,612443
989,190,355,0.779,0.867,-3.704,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,258040,610962
991,192,24,0.638,0.523,-6.664,0.357,0.00454,0.0,0.0842,0.422,139.913,185947,604950
992,193,47,0.927,0.665,-5.313,0.244,0.061,0.0,0.123,0.175,127.076,343150,604710
993,194,29,0.468,0.444,-10.217,0.291,0.796,0.0,0.619,0.637,76.019,303640,604026
994,195,1307,0.532,0.767,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,602320
995,196,5001,0.558,0.766,-5.953,0.231,0.263,0.0,0.32,0.182,96.281,203960,602217
996,197,181,0.663,0.713,-6.647,0.112,0.0353,7.68e-06,0.0843,0.69,101.965,197933,599127
997,198,8,0.866,0.648,-3.675,0.0543,0.009,0.0,0.0967,0.0798,150.058,140793,598895
998,199,2500,0.683,0.53,-4.918,0.142,0.207,0.0,0.394,0.645,75.016,190428,598202
1004,5,24,0.783,0.623,-6.126,0.08,0.338,0.0,0.0975,0.447,100.048,214480,2423809
1005,6,76,0.794,0.632,-6.163,0.0649,0.142,0.0,0.128,0.355,145.926,291893,2404515
1007,8,1,0.928,0.481,-9.35,0.287,0.105,0.0,0.176,0.613,134.007,210937,2375598
1013,14,2500,0.608,0.798,-5.092,0.0432,0.0736,0.0,0.156,0.501,92.943,185352,1877620
1014,15,26,0.639,0.785,-6.167,0.174,0.0174,0.00107,0.0512,0.686,191.95,210920,1867782
1015,16,44,0.49,0.485,-6.237,0.0406,0.0592,0.0,0.337,0.196,133.889,195840,1836326
1017,18,64,0.852,0.773,-2.921,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840,1729282
1018,19,5,0.648,0.738,-5.883,0.247,0.0408,0.0,0.292,0.603,159.145,226160,1709208
1019,20,277,0.647,0.932,-3.515,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,198774,1676456
1021,22,55,0.636,0.633,-4.23,0.126,0.371,0.0,0.102,0.512,99.721,181880,1561785
1023,24,165,0.697,0.691,-4.757,0.146,0.214,0.0,0.185,0.305,137.853,239293,1517176
1024,25,4973,0.469,0.68,-4.921,0.117,0.137,0.0,0.11,0.374,147.734,208733,1501003
1025,26,17,0.818,0.913,-3.06,0.0426,0.093,3.69e-05,0.161,0.536,119.986,219160,1475783
1026,27,5037,0.732,0.396,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,1452851
1027,28,352,0.662,0.586,-8.821,0.0307,0.097,0.00272,0.115,0.296,90.0,194080,1451956
1029,30,4973,0.624,0.803,-4.105,0.246,0.123,0.0,0.114,0.821,166.018,187973,1309837
1030,31,5021,0.573,0.739,-5.74,0.129,0.0285,0.0,0.111,0.451,97.085,230227,1226269
1031,32,127,0.761,0.838,-3.073,0.0502,0.4,0.0,0.176,0.71,93.974,222560,1174740
1032,33,5052,0.495,0.762,-3.842,0.0862,0.591,0.0,0.0763,0.708,123.893,210293,1171887
1033,34,308,0.544,0.809,-5.098,0.0363,0.0038,0.0,0.323,0.448,145.017,197640,1107057
1035,36,5247,0.781,0.57,-5.874,0.188,0.273,0.0,0.196,0.858,107.059,193181,1103476
1036,37,69,0.707,0.883,-4.281,0.0602,0.0707,0.0,0.23,0.541,106.031,167038,1095676
1037,38,65,0.696,0.743,-3.838,0.0331,0.0778,0.0,0.0581,0.644,122.978,201254,1095613
1038,39,13,0.728,0.563,-8.053,0.134,0.621,0.0,0.179,0.352,100.017,217707,1085236
1039,40,50,0.676,0.929,-3.194,0.0458,0.186,0.000405,0.121,0.157,97.019,161200,1083462
1040,41,5103,0.339,0.214,-11.714,0.0375,0.908,7.47e-06,0.341,0.363,94.775,206640,1070571
1041,42,5015,0.486,0.713,-3.949,0.0524,0.0853,0.0,0.0839,0.297,121.028,226720,1065938
1042,43,4963,0.573,0.63,-8.389,0.105,0.189,2.31e-05,0.259,0.218,77.525,249213,1061585
1043,44,2,0.508,0.687,-4.361,0.326,0.551,3.41e-06,0.126,0.555,180.044,205600,1040937
1044,45,5284,0.24,0.598,-8.435,0.0369,0.766,0.0,0.117,0.776,201.629,151933,1033179
1046,47,4994,0.657,0.421,-11.378,0.412,0.352,0.000218,0.187,0.181,174.063,264747,1031089
1047,48,2500,0.886,0.525,-7.39,0.131,0.236,0.0,0.057,0.708,145.99,225205,1020486
1049,50,5273,0.94,0.335,-10.179,0.505,0.17,0.0,0.262,0.707,120.04,209640,1013089
1050,51,2500,0.741,0.34,-13.421,0.0446,0.614,0.0,0.0955,0.838,119.606,129893,1007935
1051,52,4967,0.663,0.92,-4.07,0.226,0.00431,1.69e-05,0.101,0.533,99.935,259196,941189
1052,53,2,0.832,0.772,-5.429,0.1,0.0559,0.000486,0.44,0.704,96.016,209453,921352
1053,54,5037,0.645,0.713,-5.355,0.0393,0.00835,0.0,0.113,0.566,74.989,214507,913532
1054,55,21,0.483,0.787,-5.244,0.102,0.112,0.0,0.257,0.58,122.058,191379,899291
1055,56,5021,0.314,0.555,-9.601,0.37,0.157,0.000108,0.067,0.159,179.666,175517,896184
1056,57,140,0.788,0.43,-7.757,0.0419,0.537,0.00261,0.0936,0.461,121.996,192846,895613
1057,58,531,0.803,0.569,-7.392,0.0739,0.0623,0.0,0.083,0.809,107.986,188889,867193
1058,59,2500,0.603,0.321,-11.489,0.0599,0.881,0.0,0.34,0.844,143.104,155600,854567
1059,60,2500,0.317,0.158,-16.485,0.0381,0.673,0.353,0.338,0.247,130.503,177480,849969
1060,61,65,0.739,0.833,-5.012,0.0463,0.35,0.0,0.266,0.699,117.99,195313,839201
1061,62,17,0.631,0.927,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962,222160,811843
1062,63,61,0.78,0.575,-5.628,0.139,0.106,0.0,0.129,0.273,81.502,222360,797356
1063,64,1,0.804,0.648,-7.805,0.117,0.0573,3.49e-05,0.102,0.392,117.983,263373,795478
1064,65,5037,0.734,0.637,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,794471
1065,66,5267,0.703,0.407,-12.155,0.0504,0.706,0.0,0.45,0.849,140.057,125827,793306
1066,67,238,0.492,0.275,-13.4,0.3,0.687,0.0,0.101,0.18,92.6,251034,789976
1067,68,9438,0.485,0.857,-7.059,0.0442,0.534,0.0,0.347,0.963,148.749,182360,786238
1068,69,100,0.803,0.585,-5.861,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,214480,775147
1069,70,2500,0.599,0.642,-6.936,0.0363,0.164,3.33e-05,0.0992,0.349,115.412,222533,765740
1070,71,5252,0.602,0.707,-4.097,0.302,0.393,0.0,0.165,0.554,75.087,200187,761804
1071,72,50,0.589,0.651,-5.097,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,212627,760674
1072,73,149,0.576,0.766,-4.943,0.449,0.028,1.68e-06,0.366,0.236,144.833,246761,755188
1073,74,4961,0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418,233720,751790
1074,75,1,0.725,0.534,-6.238,0.0946,0.0752,0.0,0.0919,0.558,91.974,219320,741907
1075,76,4961,0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,200787,741713
1076,77,5535,0.465,0.27,-16.661,0.0425,0.9,0.00104,0.145,0.58,94.518,129173,740785
1077,78,2500,0.502,0.786,-4.378,0.317,0.255,0.0,0.65,0.739,169.021,243491,740535
1079,80,775,0.807,0.887,-3.892,0.275,0.00381,0.0,0.391,0.78,160.517,144244,725419
1080,81,4998,0.626,0.717,-5.751,0.0375,0.017,0.0,0.261,0.56,105.039,247427,722332
1081,82,5524,0.541,0.909,-3.101,0.0358,0.128,0.0,0.128,0.962,203.862,220160,713999
1082,83,186,0.588,0.471,-7.287,0.0577,0.592,0.00146,0.0733,0.209,152.881,242081,703851
1083,84,5,0.464,0.63,-7.337,0.182,0.0464,0.0,0.295,0.527,132.96,204093,699996
1084,85,64,0.736,0.964,-2.147,0.129,0.198,2.32e-06,0.336,0.953,179.935,227707,699506
1085,86,2500,0.886,0.427,-10.028,0.145,0.0312,0.00099,0.0906,0.23,108.034,177184,698290
1086,87,570,0.328,0.607,-11.076,0.0315,0.318,0.0,0.765,0.395,146.537,213880,697893
1087,88,5059,0.774,0.739,-4.022,0.0952,0.0316,5.95e-06,0.119,0.823,126.002,246240,690916
1088,89,653,0.422,0.852,-3.546,0.208,0.0845,0.0,0.0687,0.666,82.914,248387,690563
1089,90,4961,0.666,0.543,-9.188,0.0446,0.511,0.0,0.0911,0.881,161.947,182947,688163
1090,91,4984,0.776,0.669,-4.933,0.0638,0.142,0.0,0.219,0.661,91.012,228467,686517
1091,92,1,0.607,0.476,-11.076,0.249,0.0773,0.0,0.113,0.347,122.976,245227,683044
1092,93,5098,0.596,0.838,-6.52,0.0704,0.0189,1.54e-05,0.108,0.472,94.982,240427,680820
1093,94,242,0.632,0.575,-6.478,0.029,0.0225,1.81e-06,0.104,0.188,90.037,183414,658155
1094,95,56,0.564,0.849,-3.516,0.0517,0.00868,4.68e-06,0.12,0.427,102.028,212647,655807
1095,96,4979,0.671,0.314,-8.091,0.244,0.11,0.0,0.0825,0.296,110.898,191600,654801
1096,97,2500,0.42,0.636,-7.216,0.22,0.494,0.0,0.122,0.784,156.104,215670,653084
1097,98,24,0.542,0.72,-5.136,0.0628,0.147,0.0,0.348,0.623,149.828,231360,652879
1098,99,1514,0.31,0.095,-17.828,0.0366,0.904,3.43e-05,0.128,0.188,72.76,190973,647838
1099,100,16,0.835,0.413,-9.81,0.396,0.373,0.00133,0.101,0.111,149.004,258880,644067
1100,101,4966,0.899,0.626,-4.228,0.292,0.076,0.0,0.0631,0.873,88.007,234320,637148
1102,103,5461,0.774,0.764,-5.445,0.0518,0.156,0.0,0.0383,0.912,118.997,219147,629765
1103,104,103,0.742,0.479,-5.83,0.0551,0.29,0.0,0.391,0.346,119.951,237300,628227
1104,105,4989,0.578,0.574,-6.209,0.0454,0.196,0.0,0.083,0.301,174.152,261240,628111
1105,106,501,0.783,0.467,-9.474,0.0503,0.729,0.809,0.109,0.236,90.838,237793,626436
1106,107,1,0.806,0.558,-6.538,0.172,0.00496,1.45e-06,0.16,0.26,85.011,251333,611927
1107,108,4963,0.772,0.504,-8.219,0.0761,0.129,0.0,0.125,0.244,140.035,237573,610746
1108,109,19,0.906,0.444,-8.692,0.384,0.136,6.44e-05,0.173,0.678,140.063,235040,608277
1109,110,557,0.271,0.551,-7.48,0.0457,0.582,4.16e-05,0.256,0.428,78.111,272467,606439
1110,111,5622,0.322,0.377,-7.385,0.0356,0.454,0.0,0.338,0.366,118.669,268960,594996
1111,112,27,0.611,0.7,-5.331,0.0436,0.0199,0.0,0.0549,0.213,104.981,220573,592532
1112,113,2500,0.779,0.671,-5.829,0.0814,0.153,1.12e-05,0.115,0.718,104.953,177095,592238
1113,114,2500,0.683,0.708,-6.244,0.0305,0.0398,0.155,0.686,0.355,92.991,237707,587481
1114,115,5,0.636,0.727,-5.852,0.106,0.0161,1.12e-06,0.151,0.358,107.988,244453,587429
1115,116,239,0.793,0.729,-4.77,0.0394,0.08,3.1e-05,0.317,0.488,121.972,195547,580117
1116,117,325,0.931,0.604,-1.41,0.0573,0.456,0.0,0.0488,0.864,129.926,144039,579222
1117,118,87,0.716,0.908,-3.254,0.103,0.0858,0.0,0.135,0.869,91.03,199693,579097
1118,119,393,0.822,0.544,-6.797,0.0332,0.562,2.4e-05,0.144,0.861,122.047,198001,572617
1119,120,4994,0.898,0.283,-12.335,0.356,0.319,0.000383,0.11,0.469,138.97,216520,572184
1121,122,44,0.609,0.887,-4.749,0.0507,0.0504,4.76e-06,0.09,0.316,97.99,191812,551943
1123,124,5098,0.69,0.524,-8.39,0.103,0.0415,3.16e-06,0.17,0.562,164.023,223080,545639
1124,125,5664,0.635,0.847,-3.152,0.447,0.533,0.0,0.154,0.568,166.072,234650,544768
1125,126,44,0.756,0.674,-6.518,0.0959,0.0184,0.0,0.158,0.389,111.995,251467,544631
1126,127,219,0.687,0.409,-7.751,0.0311,0.71,0.0,0.126,0.16,111.861,232600,543546
1127,128,2500,0.761,0.829,-3.203,0.0681,0.167,0.0,0.189,0.813,92.033,252003,543450
1128,129,906,0.617,0.567,-4.188,0.0828,0.0584,0.0,0.0933,0.505,90.246,217603,541114
1129,130,65,0.459,0.587,-6.983,0.0785,0.453,0.0,0.307,0.581,113.901,212424,540561
1130,131,4994,0.744,0.43,-10.604,0.309,0.455,2.73e-06,0.126,0.266,92.039,201667,539777
1131,132,4963,0.706,0.505,-6.923,0.193,0.142,0.0,0.164,0.388,160.053,218880,538082
1132,133,4962,0.721,0.687,-6.682,0.0782,0.0998,0.0,0.0679,0.825,175.914,226400,526017
1133,134,5012,0.695,0.672,-6.109,0.0345,0.014,7.95e-05,0.0756,0.245,104.988,235827,522612
1134,135,2500,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,518836
1135,136,5352,0.774,0.511,-8.914,0.0319,0.322,0.0,0.0672,0.771,94.736,227653,515399
1136,137,4668,0.526,0.709,-9.882,0.0333,0.601,1.37e-05,0.327,0.832,91.638,184018,513422
1137,138,827,0.681,0.715,-10.609,0.0912,0.812,9.43e-06,0.0777,0.957,152.132,165733,512185
1138,139,2500,0.724,0.276,-12.25,0.0599,0.76,0.0,0.116,0.718,112.874,155933,508075
1139,140,6617,0.683,0.375,-13.056,0.0303,0.579,0.0,0.076,0.888,140.467,135533,506536
1140,141,4967,0.73,0.701,-5.885,0.106,0.132,0.0,0.151,0.785,175.95,207307,506040
1141,142,2568,0.628,0.484,-7.588,0.0319,0.469,1.23e-05,0.126,0.642,63.476,216627,501856
1142,143,5932,0.595,0.662,-6.858,0.0362,0.0178,0.0,0.0804,0.417,96.053,218447,500131
1143,144,818,0.562,0.906,-2.085,0.0758,0.105,0.0,0.145,0.674,124.146,205920,496527
1144,145,4963,0.738,0.885,-5.547,0.206,0.0133,0.0,0.0821,0.752,112.878,232880,495166
1145,146,5592,0.673,0.637,-4.518,0.0429,0.137,0.0,0.184,0.678,123.98,201160,495089
1146,147,5934,0.811,0.801,-6.0,0.0802,0.0548,2.09e-05,0.0742,0.693,105.055,195429,494361
1147,148,5235,0.608,0.174,-8.796,0.0332,0.851,1.92e-05,0.0855,0.193,112.175,260004,493523
1148,149,4973,0.746,0.754,-6.681,0.067,0.0152,0.0,0.0486,0.764,149.882,206880,490618
1150,151,5098,0.481,0.451,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966,295493,486030
1151,152,498,0.532,0.926,-5.536,0.0357,0.112,9.84e-06,0.318,0.814,140.137,272394,484675
1152,153,4966,0.68,0.954,-1.823,0.119,0.0244,0.0,0.112,0.521,104.029,247493,484112
1154,155,4961,0.845,0.567,-8.118,0.0956,0.59,0.00142,0.0811,0.793,125.02,205680,481855
1155,156,5103,0.647,0.465,-8.308,0.0428,0.865,0.0,0.0882,0.699,151.251,119787,479202
1156,157,5015,0.576,0.782,-4.825,0.0296,0.00778,0.0,0.285,0.355,141.153,224031,473653
1157,158,5015,0.694,0.712,-3.923,0.046,0.132,0.0,0.211,0.799,98.023,201122,468294
1158,159,1075,0.357,0.668,-8.444,0.0479,0.362,1.37e-06,0.727,0.407,139.986,267600,467340
1159,160,80,0.51,0.692,-5.825,0.171,0.00451,0.0,0.138,0.209,102.42,228361,466335
1160,161,4979,0.509,0.637,-4.83,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,224000,465664
1161,162,2500,0.7,0.139,-12.346,0.0607,0.902,0.0,0.185,0.49,84.485,206067,464948
1162,163,2500,0.772,0.547,-6.373,0.0541,0.0983,4.35e-06,0.107,0.0957,130.099,278107,464204
1163,164,2435,0.583,0.545,-11.698,0.0351,0.232,0.0,0.133,0.801,153.249,302600,460651
1164,165,5025,0.584,0.7,-4.275,0.0456,0.117,0.0,0.0939,0.438,124.944,202747,457531
1165,166,5103,0.594,0.389,-7.109,0.0517,0.785,0.0,0.0313,0.396,122.331,171093,456330
1166,167,8,0.711,0.739,-3.804,0.129,0.114,0.0,0.226,0.43,136.919,252256,451693
1167,168,2500,0.652,0.795,-5.192,0.174,0.156,0.0,0.123,0.788,135.018,304607,450488
1168,169,4978,0.426,0.177,-9.429,0.0436,0.954,0.0,0.317,0.317,133.483,170964,450319
1169,170,6381,0.706,0.674,-6.977,0.0337,0.11,0.000626,0.0784,0.545,113.956,207307,447214
1170,171,1005,0.418,0.106,-22.507,0.0448,0.994,0.0292,0.179,0.8,46.718,85267,446205
1172,173,5103,0.702,0.588,-5.914,0.0563,0.634,0.0,0.198,0.849,122.945,159973,442134
1173,174,1,0.903,0.62,-8.094,0.0587,0.00347,0.000119,0.0504,0.539,134.96,267067,441163
1174,175,5075,0.671,0.916,-4.014,0.0397,0.0282,0.00762,0.24,0.803,126.01,189127,440851
1175,176,5364,0.776,0.703,-10.696,0.0427,0.204,0.0,0.336,0.939,112.534,243400,436119
1176,177,4977,0.843,0.359,-7.417,0.461,0.069,0.0,0.12,0.156,81.987,163944,436094
1177,178,4990,0.772,0.909,-3.225,0.166,0.256,0.0,0.255,0.694,96.031,238800,435917
1178,179,4963,0.586,0.525,-7.163,0.0615,0.111,0.0,0.134,0.508,133.629,260253,435053
1179,180,4963,0.356,0.567,-7.011,0.0798,0.0861,0.0,0.137,0.109,135.553,242253,434145
1180,181,5771,0.88,0.605,-7.639,0.0531,0.104,0.00488,0.106,0.626,120.017,206099,432688
1181,182,1,0.852,0.553,-7.286,0.187,0.0559,0.0,0.332,0.656,142.079,205879,431363
1182,183,894,0.634,0.525,-8.968,0.47,0.0705,0.0,0.0729,0.49,130.271,222467,429355
1183,184,1527,0.57,0.763,-4.137,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,239853,429150
1184,185,5725,0.665,0.844,-3.777,0.0273,0.171,0.0,0.225,0.665,147.073,255733,426096
1185,186,5053,0.746,0.653,-6.745,0.289,0.378,0.0,0.229,0.672,75.016,253107,425582
1187,188,56,0.312,0.418,-9.146,0.0296,0.131,0.000679,0.0836,0.237,130.795,242496,424961
1188,189,2500,0.76,0.838,-3.828,0.0529,0.547,1.3e-06,0.0664,0.745,93.05,210323,424944
1189,190,4966,0.723,0.889,-4.017,0.0939,0.0673,0.0,0.363,0.701,101.032,224320,423269
1190,191,4963,0.665,0.771,-5.779,0.0533,0.0155,9.6e-06,0.46,0.764,109.948,265600,422381
1191,192,2435,0.887,0.48,-11.994,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,193200,419275
1192,193,80,0.68,0.774,-3.136,0.0697,0.101,0.0,0.113,0.331,102.949,163841,417966
1193,194,16,0.722,0.331,-7.789,0.0726,0.337,0.282,0.146,0.102,143.961,313547,416583
1194,195,1,0.618,0.727,-7.224,0.208,0.0312,0.0,0.196,0.401,164.992,180520,414535
1196,197,5096,0.681,0.314,-9.319,0.0581,0.2,9.82e-06,0.1,0.166,139.992,208120,414350
1197,198,1027,0.675,0.937,-3.525,0.0509,0.152,0.0,0.154,0.567,103.961,218507,410270
1198,199,894,0.693,0.65,-8.376,0.192,0.0398,0.0,0.186,0.663,85.026,218480,407647
1199,200,56,0.491,0.693,-6.487,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258267,406833
